Name,Code,Country,Employees,CEO Name,CEO Year Born
"Coinbase Global, Inc.",COIN,United States,4510,Mr. Frederick Ernest Ehrsam III,1989
"JD.com, Inc.",JD,China,,Ms. Pang  Zhang,1989
"Meta Platforms, Inc.",META,United States,86482,Ms. Susan J. S. Li,1987
Shopify Inc.,SHOP,Canada,11600,Ms. Brittany  Forsyth,1987
"Riot Platforms, Inc.",RIOT,United States,489,Mr. Jason  Les,1986
