Name,Code,52-Week Change,Total Cash
National Instruments Corporation,NATI,49.01%,142.1M
PG&E Corporation,PCG,37.89%,734M
NVIDIA Corporation,NVDA,24.64%,13.3B
Microsoft Corporation,MSFT,1.31%,99.5B
AT&T Inc.,T,1.18%,3.74B
"Advanced Micro Devices, Inc.",AMD,-0.78%,5.86B
Alibaba Group Holding Limited,BABA,-1.73%,519.21B
Apple Inc.,AAPL,-3.14%,51.36B
"Riot Platforms, Inc.",RIOT,-17.5%,230.33M
Ford Motor Company,F,-18.15%,32.18B
